Index,Attendance,Promotion Night,Weekend,Day of the Week,FCC Rank,Opp Rank,Date
1,25045,0,1,Saturday,14,4,6/19/2021
2,25701,1,1,Friday,11,9,7/9/2021
3,23162,1,0,Wednesday,11,10,7/21/2021
4,25060,0,1,Saturday,12,9,7/31/2021
5,24113,0,1,Saturday,11,2,8/7/2021
6,21115,1,0,Wednesday,13,7,8/18/2021
7,22234,1,1,Saturday,13,8,9/4/2021
8,22636,1,1,Saturday,13,14,9/11/2021
9,21978,1,1,Saturday,13,4,9/18/2021
10,22141,1,1,Saturday,13,10,10/2/2021
11,21674,1,1,Saturday,14,3,10/9/2021
12,22488,0,1,Saturday,14,4,10/16/2021
13,20581,1,0,Wednesday,14,3,10/27/2021
14,23663,1,1,Saturday,14,6,11/7/2021
15,22183,0,1,Saturday,14,8,3/5/2022
16,19365,1,1,Saturday,10,12,3/19/2022
17,20386,1,1,Saturday,9,13,4/2/2022
18,20883,1,1,Sunday,10,1,4/24/2022
19,19563,0,0,Wednesday,9,8,5/4/2022
20,22844,0,1,Saturday,6,11,5/21/2022
21,24263,1,1,Friday,7,4,6/24/2022
22,21258,0,0,Wednesday,7,2,6/29/2022
23,24476,1,1,Saturday,5,1,7/9/2022
24,21078,0,0,Wednesday,6,10,7/13/2022
25,23420,0,1,Saturday,7,6,7/23/2022
26,23443,1,1,Saturday,6,1,8/6/2022
27,25037,0,1,Saturday,6,12,8/13/2022
28,25037,1,1,Saturday,8,7,8/27/2022
29,21165,1,1,Saturday,7,12,9/3/2022
30,22557,0,1,Saturday,7,12,9/10/2022
31,25316,1,1,Saturday,5,12,10/1/2022
32,,0,1,Saturday,5,13,2/25/2023
33,,0,1,Saturday,5,11,3/11/2023
34,,0,1,Saturday,2,10,4/1/2023
35,,1,1,Saturday,1,9,4/8/2023
36,,0,1,Saturday,2,9,4/22/2023
37,,0,1,Saturday,2,11,5/6/2023
38,,0,0,Wednesday,2,15,5/17/2023
39,,1,1,Saturday,2,4,5/20/2023
40,,0,1,Saturday,2,8,6/3/2023
41,,1,0,Wednesday,2,9,6/21/2023
42,,1,1,Saturday,2,1,7/1/2023
43,,0,1,Saturday,2,6,7/15/2023
44,,0,1,Saturday,2,5,8/26/2023
45,,1,1,Saturday,2,7,9/2/2023
46,,1,1,Saturday,2,14,9/23/2023
47,,0,0,Wednesday,2,12,10/4/2023
48,,1,1,Saturday,2,3,10/21/2023
