"","Index","Attendance","Promotion.Night","Weekend","Day.of.the.Week","FCC.Rank","Opp.Rank","Date"
"1",1,25045,0,1,"Saturday",14,4,"6/19/2021"
"2",2,25701,1,1,"Friday",11,9,"7/9/2021"
"3",3,23162,1,0,"Wednesday",11,10,"7/21/2021"
"4",4,25060,0,1,"Saturday",12,9,"7/31/2021"
"5",5,24113,0,1,"Saturday",11,2,"8/7/2021"
"6",6,21115,1,0,"Wednesday",13,7,"8/18/2021"
"7",7,22234,1,1,"Saturday",13,8,"9/4/2021"
"8",8,22636,1,1,"Saturday",13,14,"9/11/2021"
"9",9,21978,1,1,"Saturday",13,4,"9/18/2021"
"10",10,22141,1,1,"Saturday",13,10,"10/2/2021"
"11",11,21674,1,1,"Saturday",14,3,"10/9/2021"
"12",12,22488,0,1,"Saturday",14,4,"10/16/2021"
"13",13,20581,1,0,"Wednesday",14,3,"10/27/2021"
"14",14,23663,1,1,"Saturday",14,6,"11/7/2021"
"15",15,22183,0,1,"Saturday",14,8,"3/5/2022"
"16",16,19365,1,1,"Saturday",10,12,"3/19/2022"
"17",17,20386,1,1,"Saturday",9,13,"4/2/2022"
"18",18,20883,1,1,"Sunday",10,1,"4/24/2022"
"19",19,19563,0,0,"Wednesday",9,8,"5/4/2022"
"20",20,22844,0,1,"Saturday",6,11,"5/21/2022"
"21",21,24263,1,1,"Friday",7,4,"6/24/2022"
"22",22,21258,0,0,"Wednesday",7,2,"6/29/2022"
"23",23,24476,1,1,"Saturday",5,1,"7/9/2022"
"24",24,21078,0,0,"Wednesday",6,10,"7/13/2022"
"25",25,23420,0,1,"Saturday",7,6,"7/23/2022"
"26",26,23443,1,1,"Saturday",6,1,"8/6/2022"
"27",27,25037,0,1,"Saturday",6,12,"8/13/2022"
"28",28,25037,1,1,"Saturday",8,7,"8/27/2022"
"29",29,21165,1,1,"Saturday",7,12,"9/3/2022"
"30",30,22557,0,1,"Saturday",7,12,"9/10/2022"
"31",31,25316,1,1,"Saturday",5,12,"10/1/2022"
