"","Date_of_Match","Projected_Attendance"
"32","2/25/2023",23477.6885827829
"33","3/11/2023",23589.8619725317
"34","4/1/2023",23914.2433241325
"35","4/8/2023",23647.4591103762
"36","4/22/2023",23970.3300190069
"37","5/6/2023",23858.1566292581
"38","5/17/2023",21580.3811910867
"39","5/20/2023",23838.4610325061
"40","6/3/2023",24026.4167138813
"41","6/21/2023",21504.5988994603
"42","7/1/2023",24006.7211171293
"43","7/15/2023",24138.5901036301
"44","8/26/2023",24194.6767985045
"45","9/2/2023",23670.2009478829
"46","9/23/2023",23277.5940837621
"47","10/4/2023",21748.6412757099
"48","10/21/2023",23894.5477273805
